Year,Life_Expectancy,Physician_Density,Hospital_Beds_Per_1000,Health_Expenditure_y,Out_of_Pocket,UHC_Coverage_Index
1990,75.08563415,2.745,10.39999962,8.404808384,14.11919417,84.0
1991,75.3195122,2.745,10.10000038,8.516111093,14.04193438,84.0
1992,75.8195122,2.816,9.899999619,8.627413802,13.9646746,84.0
1993,75.87073171,2.904,9.699999809,8.738716511,13.88741482,84.0
1994,76.27073171,2.977,9.699999809,8.85001922,13.81015504,84.0
1995,76.42195122,3.041,9.699999809,8.961321929,13.73289525,84.0
1996,76.67317073,3.087,9.600000382,9.072624638,13.65563547,84.0
1997,77.07317073,3.103,9.399999619,9.183927347,13.57837569,84.0
1998,77.47560976,3.164,9.300000191,9.295230056,13.50111591,84.0
1999,77.72682927,3.213,9.199999809,9.406532765,13.42385612,84.0
2000,77.92682927,3.263,9.16,9.75930405,11.80379105,79.0
2001,78.32926829,3.31,9.06,9.78105545,11.78136063,80.0
2002,78.22926829,3.338,8.92,10.028965,12.04771709,80.0
2003,78.3804878,3.369,8.79,10.22255325,12.26404381,81.0
2004,78.6804878,3.392,8.62,9.97466278,13.49405193,81.0
2005,78.93170732,3.413,8.51,10.1068058,13.56490993,82.0
2006,79.13170732,3.465,8.37,9.96236897,13.89503765,82.0
2007,79.53414634,3.528,8.34,9.83482933,13.76033401,82.0
2008,79.73658537,3.584,8.31,10.03185749,13.46302605,83.0
2009,79.83658537,3.662,8.34,10.97003078,13.26327801,83.0
2010,79.98780488,3.757,8.34,10.8311739,13.30298233,84.0
2011,80.43658537,3.849,8.32,10.52106953,13.32311726,85.0
2012,80.53902439,3.922,8.29,10.59356213,13.48985386,85.0
2013,80.4902439,4.015,8.24,10.7432127,12.68544769,86.0
2014,81.0902439,4.088,8.19,10.76819706,12.35032654,86.0
2015,80.64146341,4.12,8.09,10.92317677,12.35095024,86.0
2016,80.9902439,4.166,8.02,10.97133732,12.18544674,86.0
2017,80.99268293,4.226,7.96,11.05091095,12.01707077,87.0
2018,80.89268293,4.287,7.94,11.18380833,12.1757164,86.0
2019,81.29268293,4.373,7.87,11.42805386,12.37548542,86.0
2020,81.04146341,4.443,7.77,12.46780777,11.3380394,86.0
2021,80.7902439,4.503,7.71,12.72403336,11.36333561,86.0
2022,80.60804878,4.534,7.64,12.44708347,10.43201256,87.0
2023,81.04146341,4.534,7.55,11.74428654,11.05290699,87.0
2024,80.79268293,4.534,7.55,12.26655293,10.7067318,84.0
