Year,Life_Expectancy,Physician_Density,Hospital_Beds_Per_1000,Health_Expenditure_y,Out_of_Pocket,UHC_Coverage_Index
1990,58.618,1.231,0.769800007,4.544815502,91.58915695,53.41666667
1991,59.032,1.231,0.787000001,4.499428247,90.26520219,53.41666667
1992,59.445,1.208565217,0.936222223,4.454040991,88.94124743,53.41666667
1993,59.823,1.186130435,1.085444445,4.408653736,87.61729267,53.41666667
1994,60.237,1.163695652,1.234666667,4.363266481,86.29333791,53.41666667
1995,60.63,1.14126087,1.383888889,4.317879226,84.96938315,53.41666667
1996,61.027,1.118826087,1.533111111,4.272491971,83.64542839,53.41666667
1997,61.439,1.096391304,1.682333334,4.227104716,82.32147363,53.41666667
1998,61.852,1.073956522,1.831555556,4.18171746,80.99751887,53.41666667
1999,62.284,1.051521739,1.980777778,4.136330205,79.67356411,53.41666667
2000,62.749,1.029086957,2.13,4.10568476,71.70202637,31.0
2001,63.158,1.006652174,2.09,4.33754253,74.1062088,34.0
2002,63.649,0.984217391,2.05,4.31453371,73.3739624,36.0
2003,64.086,0.961782609,2.02,4.07877731,73.42475128,38.0
2004,64.484,0.939347826,1.99,4.02679491,72.48267365,41.0
2005,64.939,0.916913043,1.95,3.85508275,73.14936829,43.0
2006,65.373,0.894478261,1.92,3.66901541,72.25708008,45.0
2007,65.803,0.872043478,1.89,3.58103991,70.81672668,47.0
2008,66.247,0.849608696,1.87,3.58856082,69.14794159,49.0
2009,66.7,0.827173913,1.84,3.54637694,66.75775146,51.0
2010,67.162,0.80473913,1.81,3.33625913,65.18476868,53.0
2011,67.623,0.782304348,1.79,3.24634218,62.22489929,54.0
2012,68.076,0.759869565,1.76,3.32935286,63.00013733,56.0
2013,68.499,0.737434783,1.74,3.74944186,69.07303619,57.0
2014,68.932,0.715,1.72,3.61956549,67.01399994,60.0
2015,69.326,0.723,1.7,3.59565973,64.66441345,62.0
2016,69.709,0.748,1.68,3.50430417,63.20619965,63.0
2017,70.068,0.766,1.66,2.93597651,55.11247635,64.0
2018,70.415,0.84,1.64,2.8584938,53.22994614,63.0
2019,70.746,0.889,1.62,2.95299792,52.00421143,65.0
2020,70.156,0.723,1.61,3.34146094,49.51094055,66.0
2021,67.282,0.723,1.59,3.34680939,45.10914612,67.0
2022,71.698,0.723,1.59,3.39623499,44.54133987,68.0
2023,72.003,0.723,1.59,3.33944035,43.88510513,69.0
2024,72.235,0.723,1.59,3.001648826,46.57469512,53.41666667
